ID,Var_ID,Name,Description,ord
Biome-1,Biome,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,1
Biome-2,Biome,Tropical & Subtropical Dry Broadleaf Forests,Tropical & Subtropical Dry Broadleaf Forests,2
Biome-3,Biome,Tropical & Subtropical Coniferous Forests,Tropical & Subtropical Coniferous Forests,3
Biome-4,Biome,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,4
Biome-5,Biome,Temperate Conifer Forests,Temperate Conifer Forests,5
Biome-6,Biome,Boreal Forests/Taiga,Boreal Forests/Taiga,6
Biome-7,Biome,"Tropical & Subtropical Grasslands, Savannas & Shrublands","Tropical & Subtropical Grasslands, Savannas & Shrublands",7
Biome-8,Biome,"Temperate Grasslands, Savannas & Shrublands","Temperate Grasslands, Savannas & Shrublands",8
Biome-9,Biome,Flooded Grasslands & Savannas,Flooded Grasslands & Savannas,9
Biome-10,Biome,Montane Grasslands & Shrublands,Montane Grasslands & Shrublands,10
Biome-11,Biome,Tundra,Tundra,11
Biome-12,Biome,"Mediterranean Forests, Woodlands & Scrub","Mediterranean Forests, Woodlands & Scrub",12
Biome-13,Biome,Deserts & Xeric Shrublands,Deserts & Xeric Shrublands,13
Biome-14,Biome,Mangroves,Mangroves,14
Biome-15,Biome,Ice,Ice,15
Biome-16,Biome,Inland Water,Inland Water,16
Biome-NA,Biome,Missing data,Missing data,99
EcoRegion-NA,EcoRegion,Missing data,Missing data,99
EcoRegion-61404,EcoRegion,NT1404,Northern Mesoamerican Pacific mangroves,61404
EcoRegion-60228,EcoRegion,NT0228,Sinaloan dry forests,60228
EcoRegion-60904,EcoRegion,NT0904,Everglades,60904
EcoRegion-60301,EcoRegion,NT0301,Bahamian pine mosaic,60301
EcoRegion-61402,EcoRegion,NT1402,Bahamian-Antillean mangroves,61402
EcoRegion-60164,EcoRegion,NT0164,South Florida rocklands,60164
EcoRegion-61314,EcoRegion,NT1314,San Lucan xeric scrub,61314
EcoRegion-60176,EcoRegion,NT0176,Veracruz moist forests,60176
EcoRegion-60227,EcoRegion,NT0227,Sierra de la Laguna dry forests,60227
EcoRegion-60302,EcoRegion,NT0302,Belizian pine forests,60302
EcoRegion-60154,EcoRegion,NT0154,Petén-Veracruz moist forests,60154
EcoRegion-61403,EcoRegion,NT1403,Mesoamerican Gulf-Caribbean mangroves,61403
EcoRegion-60134,EcoRegion,NT0134,Leeward Islands moist forests,60134
EcoRegion-60113,EcoRegion,NT0113,Chiapas montane forests,60113
EcoRegion-60308,EcoRegion,NT0308,Sierra Madre de Oaxaca pine-oak forests,60308
EcoRegion-60309,EcoRegion,NT0309,Sierra Madre del Sur pine-oak forests,60309
EcoRegion-60179,EcoRegion,NT0179,Windward Islands moist forests,60179
EcoRegion-60112,EcoRegion,NT0112,Central American montane forests,60112
EcoRegion-61305,EcoRegion,NT1305,Caribbean shrublands,61305
EcoRegion-60220,EcoRegion,NT0220,Lesser Antillean dry forests,60220
EcoRegion-61407,EcoRegion,NT1407,Southern Mesoamerican Pacific mangroves,61407
EcoRegion-60303,EcoRegion,NT0303,Central American pine-oak forests,60303
EcoRegion-61401,EcoRegion,NT1401,Amazon-Orinoco-Southern Caribbean mangroves,61401
EcoRegion-61301,EcoRegion,NT1301,Araya and Paria xeric scrub,61301
EcoRegion-61308,EcoRegion,NT1308,Guajira-Barranquilla xeric scrub,61308
EcoRegion-60171,EcoRegion,NT0171,Trinidad and Tobago moist forests,60171
EcoRegion-60229,EcoRegion,NT0229,Sinú Valley dry forests,60229
EcoRegion-60119,EcoRegion,NT0119,Costa Rican seasonal moist forests,60119
EcoRegion-60159,EcoRegion,NT0159,Santa Marta montane forests,60159
EcoRegion-60709,EcoRegion,NT0709,Llanos,60709
EcoRegion-61006,EcoRegion,NT1006,Northern Andean páramo,61006
EcoRegion-60124,EcoRegion,NT0124,Guianan Highlands moist forests,60124
EcoRegion-60169,EcoRegion,NT0169,Pantepui,60169
EcoRegion-60707,EcoRegion,NT0707,Guianan savanna,60707
EcoRegion-61405,EcoRegion,NT1405,South American Pacific mangroves,61405
EcoRegion-60158,EcoRegion,NT0158,Rio Negro campinarana,60158
EcoRegion-60201,EcoRegion,NT0201,Apure-Villavicencio dry forests,60201
EcoRegion-60310,EcoRegion,NT0310,Trans-Mexican Volcanic Belt pine-oak forests,60310
EcoRegion-61306,EcoRegion,NT1306,Cuban cactus scrub,61306
EcoRegion-60120,EcoRegion,NT0120,Cuban moist forests,60120
EcoRegion-60902,EcoRegion,NT0902,Cuban wetlands,60902
EcoRegion-60213,EcoRegion,NT0213,Cuban dry forests,60213
EcoRegion-60146,EcoRegion,NT0146,Oaxacan montane forests,60146
EcoRegion-60127,EcoRegion,NT0127,Hispaniolan moist forests,60127
EcoRegion-60215,EcoRegion,NT0215,Hispaniolan dry forests,60215
EcoRegion-60181,EcoRegion,NT0181,Yucatán moist forests,60181
EcoRegion-60216,EcoRegion,NT0216,Islas Revillagigedo dry forests,60216
EcoRegion-60306,EcoRegion,NT0306,Miskito pine forests,60306
EcoRegion-60209,EcoRegion,NT0209,Central American dry forests,60209
EcoRegion-60307,EcoRegion,NT0307,Sierra de la Laguna pine-oak forests,60307
EcoRegion-60205,EcoRegion,NT0205,Balsas dry forests,60205
EcoRegion-60148,EcoRegion,NT0148,Pantanos de Centla,60148
EcoRegion-60906,EcoRegion,NT0906,Orinoco wetlands,60906
EcoRegion-60167,EcoRegion,NT0167,Talamancan montane forests,60167
EcoRegion-60117,EcoRegion,NT0117,Cordillera La Costa montane forests,60117
EcoRegion-61309,EcoRegion,NT1309,La Costa xeric shrublands,61309
EcoRegion-60155,EcoRegion,NT0155,Puerto Rican moist forests,60155
EcoRegion-60903,EcoRegion,NT0903,Enriquillo wetlands,60903
EcoRegion-60218,EcoRegion,NT0218,Jamaican dry forests,60218
EcoRegion-60131,EcoRegion,NT0131,Jamaican moist forests,60131
EcoRegion-60404,EcoRegion,NT0404,Valdivian temperate forests,60404
EcoRegion-60129,EcoRegion,NT0129,Isthmian-Atlantic moist forests,60129
EcoRegion-61005,EcoRegion,NT1005,Cordillera de Merida páramo,61005
EcoRegion-60182,EcoRegion,NT0182,Guianan piedmont and lowland moist forests,60182
EcoRegion-60173,EcoRegion,NT0173,Uatuma-Trombetas moist forests,60173
EcoRegion-60128,EcoRegion,NT0128,Iquitos varzeá,60128
EcoRegion-60123,EcoRegion,NT0123,Fernando de Noronha-Atol das Rocas moist forests,60123
EcoRegion-60133,EcoRegion,NT0133,Juruá-Purus moist forests,60133
EcoRegion-60174,EcoRegion,NT0174,Ucayali moist forests,60174
EcoRegion-60402,EcoRegion,NT0402,Magellanic subpolar forests,60402
EcoRegion-60805,EcoRegion,NT0805,Patagonian steppe,60805
EcoRegion-80608,EcoRegion,PA0608,Scandinavian and Russian taiga,80608
EcoRegion-81103,EcoRegion,PA1103,Cherskii-Kolyma mountain tundra,81103
EcoRegion-51114,EcoRegion,NA1114,Low Arctic tundra,51114
EcoRegion-50506,EcoRegion,NA0506,British Columbia mainland coastal forests,50506
EcoRegion-80402,EcoRegion,PA0402,Atlantic mixed forests,80402
EcoRegion-50606,EcoRegion,NA0606,Eastern Canadian Shield taiga,50606
EcoRegion-80811,EcoRegion,PA0811,Kazakh upland,80811
EcoRegion-80409,EcoRegion,PA0409,Celtic broadleaf forests,80409
EcoRegion-51102,EcoRegion,NA1102,Aleutian Islands tundra,51102
EcoRegion-50525,EcoRegion,NA0525,Queen Charlotte Islands,50525
EcoRegion-50605,EcoRegion,NA0605,Eastern Canadian forests,50605
EcoRegion-60217,EcoRegion,NT0217,Jalisco dry forests,60217
EcoRegion-60111,EcoRegion,NT0111,Central American Atlantic moist forests,60111
EcoRegion-60110,EcoRegion,NT0110,Cayos Miskitos-San Andrés and Providencia moist forests,60110
EcoRegion-60109,EcoRegion,NT0109,Cauca Valley montane forests,60109
EcoRegion-60130,EcoRegion,NT0130,Isthmian-Pacific moist forests,60130
EcoRegion-60125,EcoRegion,NT0125,Guianan moist forests,60125
EcoRegion-60226,EcoRegion,NT0226,Puerto Rican dry forests,60226
EcoRegion-61316,EcoRegion,NT1316,Tehuacán Valley matorral,61316
EcoRegion-60114,EcoRegion,NT0114,Chimalapas montane forests,60114
EcoRegion-60107,EcoRegion,NT0107,Caqueta moist forests,60107
EcoRegion-60156,EcoRegion,NT0156,Purus varzeá,60156
EcoRegion-60115,EcoRegion,NT0115,Chocó-Darién moist forests,60115
EcoRegion-60138,EcoRegion,NT0138,Marajó varzeá,60138
EcoRegion-61307,EcoRegion,NT1307,Galápagos Islands scrubland mosaic,61307
EcoRegion-60214,EcoRegion,NT0214,Ecuadorian dry forests,60214
EcoRegion-60304,EcoRegion,NT0304,Cuban pine forests,60304
EcoRegion-60147,EcoRegion,NT0147,Orinoco Delta swamp forests,60147
EcoRegion-60108,EcoRegion,NT0108,Catatumbo moist forests,60108
EcoRegion-60175,EcoRegion,NT0175,Venezuelan Andes montane forests,60175
EcoRegion-61303,EcoRegion,NT1303,Atacama desert,61303
EcoRegion-61406,EcoRegion,NT1406,Southern Atlantic mangroves,61406
EcoRegion-60703,EcoRegion,NT0703,Campos Rupestres montane savanna,60703
EcoRegion-60907,EcoRegion,NT0907,Pantanal,60907
